movie name,movie star
肖申克的救赎,9.7
霸王别姬,9.6
阿甘正传,9.5
泰坦尼克号,9.5
千与千寻,9.4
这个杀手不太冷,9.4
美丽人生,9.5
星际穿越,9.4
盗梦空间,9.4
辛德勒的名单,9.5
楚门的世界,9.4
忠犬八公的故事,9.4
海上钢琴师,9.3
三傻大闹宝莱坞,9.2
放牛班的春天,9.3
机器人总动员,9.3
疯狂动物城,9.2
无间道,9.3
控方证人,9.6
大话西游之大圣娶亲,9.2
熔炉,9.4
教父,9.3
触不可及,9.3
当幸福来敲门,9.2
寻梦环游记,9.1
末代皇帝,9.3
龙猫,9.2
怦然心动,9.1
活着,9.3
哈利·波特与魔法石,9.2
蝙蝠侠：黑暗骑士,9.2
指环王3：王者无敌,9.3
我不是药神,9.0
乱世佳人,9.3
飞屋环游记,9.1
素媛,9.3
十二怒汉,9.4
哈尔的移动城堡,9.1
让子弹飞,9.0
何以为家,9.1
摔跤吧！爸爸,9.0
猫鼠游戏,9.1
天空之城,9.2
鬼子来了,9.3
海蒂和爷爷,9.3
少年派的奇幻漂流,9.1
钢琴家,9.3
大话西游之月光宝盒,9.0
指环王2：双塔奇兵,9.2
闻香识女人,9.1
死亡诗社,9.2
绿皮书,8.9
罗马假日,9.1
大闹天宫,9.4
天堂电影院,9.2
黑客帝国,9.1
指环王1：护戒使者,9.1
教父2,9.3
狮子王,9.1
辩护人,9.2
饮食男女,9.2
搏击俱乐部,9.0
本杰明·巴顿奇事,9.0
美丽心灵,9.1
穿条纹睡衣的男孩,9.2
窃听风暴,9.2
情书,8.9
两杆大烟枪,9.1
西西里的美丽传说,8.9
音乐之声,9.1
看不见的客人,8.8
阿凡达,8.8
哈利·波特与死亡圣器(下),9.0
拯救大兵瑞恩,9.1
飞越疯人院,9.1
小鞋子,9.2
沉默的羔羊,8.9
功夫,8.8
布达佩斯大饭店,8.9
禁闭岛,8.9
蝴蝶效应,8.9
哈利·波特与阿兹卡班的囚徒,9.0
致命魔术,8.9
心灵捕手,8.9
超脱,9.0
低俗小说,8.9
摩登时代,9.3
海豚湾,9.3
春光乍泄,9.0
喜剧之王,8.8
美国往事,9.2
致命ID,8.9
杀人回忆,8.9
哈利·波特与密室,8.9
红辣椒,9.1
七宗罪,8.8
加勒比海盗,8.8
一一,9.1
狩猎,9.1
唐伯虎点秋香,8.7
7号房的礼物,8.9
被嫌弃的松子的一生,8.9
蝙蝠侠：黑暗骑士崛起,8.9
爱在黎明破晓前,8.8
请以你的名字呼唤我,8.8
甜蜜蜜,8.9
断背山,8.8
剪刀手爱德华,8.7
入殓师,8.9
第六感,8.9
重庆森林,8.8
超能陆战队,8.7
勇敢的心,8.9
爱在日落黄昏时,8.9
幽灵公主,8.9
菊次郎的夏天,8.9
寄生虫,8.8
借东西的小人阿莉埃蒂,8.9
消失的爱人,8.7
无人知晓,9.1
阳光灿烂的日子,8.8
完美的世界,9.1
天使爱美丽,8.7
倩女幽魂,8.8
时空恋旅人,8.8
小森林 夏秋篇,9.0
未麻的部屋,9.1
哈利·波特与火焰杯,8.8
侧耳倾听,8.9
驯龙高手,8.8
幸福终点站,8.8
一个叫欧维的男人决定去死,8.9
怪兽电力公司,8.8
教父3,9.0
小森林 冬春篇,9.0
玩具总动员3,8.9
傲慢与偏见,8.7
新世界,8.9
茶馆,9.6
萤火之森,8.9
釜山行,8.6
被解救的姜戈,8.8
神偷奶爸,8.7
色，戒,8.7
告白,8.8
哪吒闹海,9.2
玛丽和马克思,9.0
九品芝麻官,8.7
大鱼,8.8
喜宴,9.0
